consulted,terminated,10
he,dissimilar,10
eagerness,law,8
unfeeling,devonshire,10
deficient,you,9
existence,entreaties,8
of,county,6
calling,old,7
nothing,estate,6
end,garret,6
fertile,enable,7
for,get,3
venture,roused,7
way,moderate,8
boy,in,3
esteem,replying,8
spirit,peculiar,8
temper,of,6
too,returned,8
say,marianne,7
adieus,over,6
who,why,1
direct,set,6
esteem,ever,5
it,knew,4
esteems,case,6
luckily,head,7
mr,yet,3
or,spoke,5
picture,ten,7
placing,one,7
drawing,place,6
no,her,3
apartments,stood,10
frequently,that,10
or,met,3
motionless,sake,10
on,ham,3
reasonable,gay,10
projecting,and,10
expression,lose,10
way,sex,3
mrs,bed,3
end,unwilling,8
gave,the,4
tall,zealously,8
walk,direction,9
fact,household,9
bed,remainder,8
sigh,hope,4
view,at,4
am,we,2
high,were,4
neat,name,3
half,favourite,8
to,incommode,9
what,rapturous,8
sent,otherwise,9
late,boy,4
held,far,4
than,agreement,9
set,country,7
why,observe,7
wife,but,4
our,clothes,7
if,own,3
an,him,3
blessing,minuter,8
building,way,8
steepest,and,8
agreement,between,8
distrusts,cottage,8
mrs,suppose,7
six,offended,8
affection,and,8
satisfied,landlord,8
day,dashwood,6
blushes,men,7
visitor,absolute,7
end,marianne,8
company,delicate,8
old,resembled,9
prevent,listening,7
chapter,led,7
consider,mrs,8
declared,contained,8
out,she,3
expenses,offending,7
her,no,3
concerns,unlocked,8
no,of,2
at,mistress,8
indulgence,children,8
conviction,interest,10
particular,or,10
unsatiable,contempt,10
boisterous,building,8
discretion,it,10
direct,she,6
enough,happy,6
off,miles,5
others,but,6
say,arose,5
eldest,books,5
may,the,3
exeter,in,6
she,excellence,10
possible,at,8
all,attachment,9
ignorant,particular,10
supplied,oh,8
get,possession,10
settling,insensible,10
marriage,on,8
recurred,no,8
how,colonel,6
promotion,on,9
excellent,greater,9
curiosity,expense,8
yet,showing,7
attempted,lasting,9
happiness,cultivated,9
gay,contrasted,10
prosperous,inquietude,9
impression,affronting,8
had,his,2
conviction,now,9
for,interested,10
every,mrs,5
delay,books,5
death,manor,5
ask,out,3
style,you,5
me,fat,3
mean,built,5
able,one,4
my,stimulated,10
by,sentiments,10
in,expression,10
they,melancholy,10
extremity,diminution,10
now,eat,3
strangers,had,9
contained,instrument,8
breakfast,now,9
him,way,3
discourse,defective,7
additions,curiosity,8
sincerity,contained,8
collected,for,8
contented,departure,9
led,his,3
now,any,3
perpetual,ham,9
extremely,extremely,0
forfeited,its,9
placing,gay,7
assured,absolute,6
be,nor,3
if,joy,3
removed,admitted,7
it,hastened,8
besides,sell,6
on,been,4
far,were,3
shed,snug,3
each,form,4
high,an,4
read,mile,4
are,in,3
men,devonshire,9
over,ye,4
day,entreaties,10
afraid,as,5
we,attachment,10
praise,understood,10
lively,on,6
he,he,0
suffer,boisterous,10
family,of,6
estate,highest,7
is,demands,7
ample,fortune,7
order,it,5
up,lasting,7
in,be,2
of,request,7
in,morning,7
ready,simplicity,10
timed,decisively,10
blind,unsatiable,10
had,reasonable,10
now,eat,3
those,her,5
ought,everything,10
set,travelling,10
often,to,5
which,do,5
or,household,9
snug,pretended,9
dull,direction,8
he,so,2
show,dejection,9
more,no,3
true,education,8
wish,begin,5
no,at,2
at,after,4
many,weeks,5
deny,music,5
away,began,5
miss,mr,3
evil,in,4
on,witty,5
in,wrote,5
so,joy,2
indeed,way,6
spirit,for,6
an,tried,5
mother,these,5
amounted,place,8
old,blush,4
strictly,drawn,8
but,offer,5
marianne,an,8
admitted,noisy,8
people,as,6
former,an,6
is,husband,7
remove,respect,5
remain,fat,6
as,natural,7
is,drawing,7
branched,was,8
in,securing,8
my,numerous,8
up,you,3
strictly,shy,7
remember,off,8
songs,disposed,8
but,recurred,8
chief,not,5
has,desirous,7
ham,although,8
widow,her,5
downs,sir,5
genius,picture,6
or,did,3
so,anxious,7
up,joy,3
vanity,concern,6
cannot,article,7
large,by,5
do,do,0
tried,unlocked,8
going,together,7
about,handsome,8
water,in,5
defer,peculiar,7
by,no,2
silent,men,6
son,listening,9
man,dependent,9
she,tolerably,9
wished,use,6
mother,enjoyment,9
distrusts,towards,7
allowance,parlors,9
do,exposed,7
knowledge,far,9
eagerness,gay,8
assurance,enjoyed,9
additions,respect,9
to,believing,9
dependent,now,9
certainty,strangers,8
off,has,3
discovery,direction,7
him,our,3
his,fat,3
tolerably,recommend,9
offending,additions,8
ham,sometimes,8
for,remainder,9
attention,attention,0
remainder,for,9
sometimes,ham,8
additions,offending,8
recommend,tolerably,9
fat,his,3
our,him,3
direction,discovery,7
has,off,3
strangers,certainty,8
now,dependent,9
believing,to,9
respect,additions,9
enjoyed,assurance,9
gay,eagerness,8
far,knowledge,9
exposed,do,7
parlors,allowance,9
towards,distrusts,7
enjoyment,mother,9
use,wished,6
tolerably,she,9
dependent,man,9
listening,son,9
men,silent,6
no,by,2
peculiar,defer,7
in,water,5
handsome,about,8
together,going,7
unlocked,tried,8
do,do,0
by,large,5
article,cannot,7
concern,vanity,6
joy,up,3
anxious,so,7
did,or,3
picture,genius,6
sir,downs,5
her,widow,5
although,ham,8
desirous,has,7
not,chief,5
recurred,but,8
disposed,songs,8
off,remember,8
shy,strictly,7
you,up,3
numerous,my,8
securing,in,8
was,branched,8
drawing,is,7
natural,as,7
fat,remain,6
respect,remove,5
husband,is,7
an,former,6
as,people,6
noisy,admitted,8
an,marianne,8
offer,but,5
drawn,strictly,8
blush,old,4
place,amounted,8
these,mother,5
tried,an,5
for,spirit,6
way,indeed,6
joy,so,2
wrote,in,5
witty,on,5
in,evil,4
mr,miss,3
began,away,5
music,deny,5
weeks,many,5
after,at,4
at,no,2
begin,wish,5
education,true,8
no,more,3
dejection,show,9
so,he,2
direction,dull,8
pretended,snug,9
household,or,9
do,which,5
to,often,5
travelling,set,10
everything,ought,10
her,those,5
eat,now,3
reasonable,had,10
unsatiable,blind,10
decisively,timed,10
simplicity,ready,10
morning,in,7
request,of,7
be,in,2
lasting,up,7
it,order,5
fortune,ample,7
demands,is,7
highest,estate,7
of,family,6
boisterous,suffer,10
he,he,0
on,lively,6
understood,praise,10
attachment,we,10
as,afraid,5
entreaties,day,10
ye,over,4
devonshire,men,9
in,are,3
mile,read,4
an,high,4
form,each,4
snug,shed,3
were,far,3
been,on,4
sell,besides,6
hastened,it,8
admitted,removed,7
joy,if,3
nor,be,3
absolute,assured,6
gay,placing,7
its,forfeited,9
extremely,extremely,0
ham,perpetual,9
any,now,3
his,led,3
departure,contented,9
for,collected,8
contained,sincerity,8
curiosity,additions,8
defective,discourse,7
way,him,3
now,breakfast,9
instrument,contained,8
had,strangers,9
eat,now,3
diminution,extremity,10
melancholy,they,10
expression,in,10
sentiments,by,10
stimulated,my,10
one,able,4
built,mean,5
fat,me,3
you,style,5
out,ask,3
manor,death,5
books,delay,5
mrs,every,5
interested,for,10
now,conviction,9
his,had,2
affronting,impression,8
inquietude,prosperous,9
contrasted,gay,10
cultivated,happiness,9
lasting,attempted,9
showing,yet,7
expense,curiosity,8
greater,excellent,9
on,promotion,9
colonel,how,6
no,recurred,8
on,marriage,8
insensible,settling,10
possession,get,10
oh,supplied,8
particular,ignorant,10
attachment,all,9
at,possible,8
excellence,she,10
in,exeter,6
the,may,3
books,eldest,5
arose,say,5
but,others,6
miles,off,5
happy,enough,6
she,direct,6
it,discretion,10
building,boisterous,8
contempt,unsatiable,10
or,particular,10
interest,conviction,10
children,indulgence,8
mistress,at,8
of,no,2
unlocked,concerns,8
no,her,3
offending,expenses,7
she,out,3
contained,declared,8
mrs,consider,8
led,chapter,7
listening,prevent,7
resembled,old,9
delicate,company,8
marianne,end,8
absolute,visitor,7
men,blushes,7
dashwood,day,6
landlord,satisfied,8
and,affection,8
offended,six,8
suppose,mrs,7
cottage,distrusts,8
between,agreement,8
and,steepest,8
way,building,8
minuter,blessing,8
him,an,3
own,if,3
clothes,our,7
but,wife,4
observe,why,7
country,set,7
agreement,than,9
far,held,4
boy,late,4
otherwise,sent,9
rapturous,what,8
incommode,to,9
favourite,half,8
name,neat,3
were,high,4
we,am,2
at,view,4
hope,sigh,4
remainder,bed,8
household,fact,9
direction,walk,9
zealously,tall,8
the,gave,4
unwilling,end,8
bed,mrs,3
sex,way,3
lose,expression,10
and,projecting,10
gay,reasonable,10
ham,on,3
sake,motionless,10
met,or,3
that,frequently,10
stood,apartments,10
her,no,3
place,drawing,6
one,placing,7
ten,picture,7
spoke,or,5
yet,mr,3
head,luckily,7
case,esteems,6
knew,it,4
ever,esteem,5
set,direct,6
why,who,1
over,adieus,6
marianne,say,7
returned,too,8
of,temper,6
peculiar,spirit,8
replying,esteem,8
in,boy,3
moderate,way,8
roused,venture,7
get,for,3
enable,fertile,7
garret,end,6
estate,nothing,6
old,calling,7
county,of,6
entreaties,existence,8
you,deficient,9
devonshire,unfeeling,10
law,eagerness,8
dissimilar,he,10
terminated,consulted,10